Wavelength,Air,Glass,SS,MC,DS,2SS1MC,2MC1SS,2SS1DS,2DS1SS,1SS1MC1DS
404,100.014888,91.422427,82.436545,90.928118,54.165898,48.857559,71.07169,60.987853,53.097412,59.158459
402,100.012739,91.428069,82.332924,90.90703,55.116307,48.766213,70.957534,60.868509,53.027895,59.046547
400,100.018584,91.401719,82.244442,90.889053,55.973066,48.686512,70.854002,60.777969,53.018056,58.963299
398,100.020005,91.404428,82.136168,90.88128,56.757587,48.597054,70.749853,60.710794,53.05655,58.899962
396,100.007683,91.379318,82.017302,90.836277,57.515135,48.495328,70.623867,60.629548,53.116414,58.850734
394,100.017219,91.36994,81.912212,90.813427,58.285665,48.410985,70.508294,60.551417,53.195358,58.802992
392,100.001734,91.340538,81.76808,90.776871,59.031601,48.3054,70.35357,60.440617,53.235599,58.713346
390,100.003145,91.313322,81.632821,90.738339,59.731499,48.18267,70.190473,60.307602,53.238122,58.597837
388,100.002712,91.245697,81.458658,90.680507,60.341382,48.051586,70.010111,60.134813,53.185444,58.453181
386,100.007816,91.199257,81.274214,90.642589,60.840647,47.90495,69.812146,59.949848,53.072802,58.278649
384,100.012055,91.145948,81.070239,90.585401,61.195325,47.751096,69.616878,59.734319,52.920817,58.088149
382,100.002607,91.105291,80.870424,90.535645,61.430696,47.590322,69.413493,59.523724,52.733844,57.891598
380,100.001413,91.064836,80.666646,90.480729,61.551602,47.405974,69.194425,59.303515,52.534912,57.68178
378,100.024293,91.000092,80.206308,90.445766,61.50821,46.788438,68.708828,58.9682,52.114442,57.301223
376,99.990745,91.009707,80.0652,90.427581,61.484388,46.730016,68.591647,58.80222,52.010074,57.152719
374,100.013064,91.030364,79.930654,90.44841,61.44952,46.667247,68.472316,58.639313,51.897712,57.032049
372,100.001306,91.068415,79.779804,90.427495,61.349805,46.59969,68.351356,58.475822,51.803314,56.927154
370,99.975512,91.072816,79.592259,90.398316,61.197212,46.497457,68.202517,58.311439,51.69348,56.792858
368,100.01415,91.054189,79.415123,90.364482,61.003181,46.39083,68.017441,58.1564,51.605158,56.666779
366,100.027322,91.049753,79.205328,90.333613,60.776037,46.268293,67.833864,58.007463,51.544737,56.546979
364,100.019811,90.986121,78.96895,90.27175,60.500395,46.129371,67.634147,57.828612,51.466297,56.403734
362,100.01154,90.931699,78.720761,90.232386,60.229174,45.977039,67.423178,57.6511,51.401665,56.267889
360,100.021123,90.86913,78.444856,90.156013,59.917862,45.802434,67.157893,57.464269,51.295499,56.129627
358,100.021017,90.794154,78.153717,90.068288,59.613251,45.603988,66.874546,57.269952,51.180361,55.954944
356,100.009257,90.704694,77.854341,89.965672,59.310628,45.379428,66.512996,57.026371,51.021784,55.749631
354,100.011002,90.603276,77.519284,89.858269,59.00062,45.117096,66.110463,56.760772,50.830874,55.510894
352,99.982242,90.489267,77.166563,89.744607,58.668812,44.812004,65.621293,56.450747,50.584748,55.229394
350,99.99575,90.341557,76.804667,89.589552,58.328565,44.468819,65.089848,56.112257,50.287214,54.919263
348,100.0157,90.166922,76.400509,89.421959,57.953319,44.067065,64.452542,55.706813,49.951592,54.571185
346,100.014177,89.967545,75.935173,89.234969,57.515467,43.615978,63.775547,55.277223,49.549003,54.171951
344,100.044508,89.739086,75.456125,89.018849,57.023156,43.146912,63.064573,54.830919,49.115458,53.747018
342,100.030982,89.452751,74.92849,88.756608,56.470817,42.656444,62.341407,54.355733,48.637981,53.309864
340,99.999018,89.132014,74.375982,88.457191,55.851588,42.168572,61.637611,53.853094,48.130782,52.833828
338,99.9952,88.718939,73.775469,88.057832,55.157093,41.67563,60.902153,53.339522,47.599044,52.341723
336,100.010691,88.250845,73.13025,87.635946,54.400071,41.179512,60.170755,52.802921,47.036491,51.838631
334,100.013202,87.705207,72.422597,87.157334,53.555788,40.675153,59.431768,52.228545,46.469524,51.325388
332,100.017566,87.088892,71.670524,86.592954,52.645677,40.143563,58.652444,51.639494,45.890874,50.768821
330,100.011457,86.329922,70.835898,85.929364,51.675876,39.590126,57.826173,51.014429,45.307569,50.192586
328,100.030118,85.470383,69.902422,85.148778,50.635424,39.021667,56.989664,50.37331,44.712002,49.586751
326,100.031321,84.427047,68.873715,84.237637,49.522329,38.423611,56.089453,49.66431,44.091924,48.927015
324,100.006983,83.237238,67.722482,83.184576,48.348682,37.772892,55.125262,48.889883,43.430953,48.20618
322,99.999236,81.890545,66.471853,81.983844,47.162859,37.094583,54.105974,48.034172,42.710051,47.428672
320,100.000546,80.381951,65.029357,80.557316,45.901552,36.299013,53.002658,47.073848,41.877533,46.503329
318,100.012877,78.281782,63.215804,78.739349,44.494681,35.285947,51.751167,45.93779,40.826266,45.327396
316,100.027846,76.254574,61.479492,76.920715,43.133767,34.354882,50.36393,44.688544,39.744429,44.144383
314,99.997359,73.963449,59.565332,74.851223,41.678698,33.310738,48.822546,43.29027,38.510905,42.803882
312,99.994719,71.431291,57.478498,72.571816,40.130424,32.168859,47.127175,41.726236,37.10835,41.297026
310,100.018928,68.603382,55.208676,70.026356,38.423141,30.901998,45.251319,39.998019,35.522089,39.612415
308,100.012656,65.449101,52.687333,67.181401,36.491033,29.475211,43.150627,38.050532,33.697888,37.719506
306,100.021573,61.965413,49.953111,64.04858,34.329672,27.924462,40.861131,35.900789,31.650277,35.608117
304,100.007596,58.242502,47.013062,60.635035,31.926902,26.240338,38.378749,33.573493,29.400433,33.300603
302,100.005835,54.259122,43.91987,56.995277,29.317384,24.458036,35.74719,31.094168,26.983716,30.847655
300,100.00859,50.082814,40.681925,53.163658,26.542459,22.586166,32.988931,28.487512,24.443228,28.254815
298,100.012557,45.720849,37.287387,49.105048,23.644795,20.621014,30.099794,25.760186,21.780982,25.53978
296,100.018065,41.232375,33.801379,44.902502,20.721554,18.601856,27.13925,22.969692,19.078604,22.760069
294,100.005618,36.74453,30.292492,40.631492,17.857953,16.575492,24.170014,20.185815,16.414882,19.992267
292,100.008373,32.345739,26.807817,36.369746,15.090621,14.568082,21.247286,17.478459,13.851642,17.295245
290,100.003966,28.069604,23.392847,32.157494,12.448165,12.613089,18.397099,14.895581,11.460055,14.727683
288,100.009034,23.967742,20.092059,28.056632,9.980698,10.740436,15.677848,12.491489,9.302377,12.350801
286,100.008483,20.119894,16.987023,24.144028,7.794743,8.998942,13.160486,10.337872,7.45621,10.230683
284,100.003965,16.631965,14.148528,20.485658,5.981891,7.43457,10.898616,8.475612,5.953913,8.40115
282,100.008372,13.522799,11.620065,17.152658,4.562299,6.067643,8.916285,6.896271,4.749352,6.845817
280,100.003194,10.811413,9.406024,14.147918,3.481575,4.882774,7.190717,5.551156,3.772587,5.521526
278,99.996146,8.476919,7.495425,11.486158,2.670142,3.867956,5.710705,4.411036,2.974496,4.397933
276,99.994827,6.532277,5.88469,9.184317,2.067963,3.021484,4.468442,3.461317,2.328384,3.458675
274,99.99956,4.95983,4.56356,7.250376,1.612882,2.333386,3.456176,2.688467,1.811604,2.695509
272,99.992192,3.708537,3.497121,5.650202,1.254635,1.782046,2.642113,2.066536,1.398365,2.076433
270,100.002307,2.735401,2.651611,4.349178,0.969646,1.345967,1.997416,1.57209,1.070621,1.583627
268,99.997256,1.983372,1.987861,3.301247,0.743294,1.004522,1.491197,1.182004,0.811235,1.193968
266,100.016446,1.421613,1.478068,2.481501,0.566953,0.742926,1.102658,0.881074,0.609274,0.891928
264,100.02727,1.010788,1.09363,1.852359,0.43029,0.546815,0.810202,0.651841,0.453507,0.661259
262,100.013784,0.713615,0.804624,1.371634,0.323819,0.39985,0.591297,0.478179,0.335305,0.485728
260,100.004044,0.499419,0.589303,1.009203,0.241645,0.289515,0.428534,0.34886,0.245252,0.354325
258,99.998362,0.3464,0.42957,0.738013,0.178578,0.208505,0.307787,0.252521,0.177267,0.256562
256,99.999563,0.2391,0.311421,0.536907,0.131251,0.149377,0.219589,0.18159,0.127429,0.184647
254,100.000328,0.165108,0.225056,0.390599,0.095984,0.106467,0.15637,0.129726,0.091726,0.132565
252,100.010267,0.113458,0.162302,0.283428,0.069574,0.07569,0.110968,0.092292,0.064986,0.094148
250,100.005572,0.077953,0.11647,0.204751,0.05015,0.0531,0.078557,0.065774,0.045561,0.066648
248,100.002186,0.053223,0.082971,0.14703,0.036074,0.036621,0.055095,0.046241,0.032029,0.047115
246,100.009955,0.03574,0.058088,0.105346,0.025817,0.025489,0.037741,0.031724,0.021551,0.032818
244,100.01489,0.023192,0.0404,0.075108,0.017518,0.01708,0.025182,0.021897,0.014014,0.022226
242,100.018741,0.015036,0.027948,0.052498,0.01085,0.01085,0.01644,0.014357,0.009097,0.014467
240,100.023589,0.009412,0.018542,0.036536,0.006693,0.006583,0.010423,0.008777,0.005705,0.008997
238,100.017905,0.004769,0.011864,0.024716,0.004064,0.003405,0.006261,0.004943,0.002746,0.005273
236,99.99098,0.001889,0.00726,0.01606,0.00187,0.00132,0.0033,0.0022,0.00011,0.00275
